Date,Close/Last,Volume,Open,High,Low
02/25/2025,$20.28,29088980,$21.70,$22.16,$19.78
02/24/2025,$22.49,19606060,$23.74,$23.90,$21.72
02/21/2025,$23.55,16255110,$25.895,$25.93,$23.36
02/20/2025,$25.26,22884770,$25.98,$26.1499,$23.87
02/19/2025,$25.93,18899050,$28.00,$28.295,$25.73
02/18/2025,$27.74,20977180,$28.27,$29.7884,$27.3898
02/14/2025,$28.02,15313030,$28.24,$28.65,$27.04
02/13/2025,$28.30,18636360,$28.08,$28.381,$27.01
02/12/2025,$27.62,15500030,$28.01,$28.58,$27.40
02/11/2025,$28.22,20244700,$29.86,$30.32,$28.08
02/10/2025,$30.60,27264840,$27.75,$31.08,$27.36
02/07/2025,$27.41,19260140,$27.98,$29.691,$27.22
02/06/2025,$27.68,15384030,$28.58,$28.92,$27.25
02/05/2025,$28.60,15149090,$28.96,$29.1356,$27.85
02/04/2025,$28.68,17138220,$29.02,$30.16,$28.41
02/03/2025,$28.38,18884720,$27.19,$29.18,$26.45
01/31/2025,$29.05,20697040,$28.75,$30.53,$28.2588
01/30/2025,$28.53,19556510,$29.185,$30.81,$27.77
01/29/2025,$28.87,12874510,$29.24,$30.45,$28.26
01/28/2025,$28.98,16086860,$29.70,$30.49,$27.8501
01/27/2025,$29.43,17477220,$28.94,$30.23,$28.48
01/24/2025,$30.36,23878640,$32.03,$33.34,$30.20
01/23/2025,$31.57,23888110,$29.00,$31.75,$28.51
01/22/2025,$29.62,27902180,$29.65,$30.1799,$28.44
01/21/2025,$31.27,62027700,$26.00,$31.64,$25.52
01/17/2025,$24.00,14068300,$25.13,$25.6532,$23.94
01/16/2025,$24.64,10860200,$25.03,$25.7769,$24.20
01/15/2025,$24.87,15252230,$25.04,$26.50,$24.78
01/14/2025,$24.16,13862770,$24.45,$24.86,$23.42
01/13/2025,$23.91,18040150,$25.55,$25.67,$23.61
01/10/2025,$26.91,15339960,$26.85,$27.99,$26.01
01/08/2025,$27.36,18750160,$27.30,$28.32,$25.89
01/07/2025,$27.95,19138760,$29.13,$29.96,$27.42
01/06/2025,$28.80,22305370,$28.99,$30.26,$28.58
01/03/2025,$28.74,22114680,$25.025,$28.77,$25.025
01/02/2025,$24.96,13792670,$25.43,$25.66,$23.70
12/31/2024,$25.47,13084830,$26.54,$26.88,$25.18
12/30/2024,$26.32,13775610,$26.22,$26.81,$24.90
12/27/2024,$27.22,15559150,$28.21,$28.71,$26.74
12/26/2024,$28.44,20056030,$26.60,$28.80,$26.11
12/24/2024,$26.60,8689609,$25.57,$26.60,$25.09
12/23/2024,$25.59,14463670,$24.97,$26.32,$24.34
12/20/2024,$24.87,25072880,$22.14,$25.29,$22.01
12/19/2024,$23.22,15541760,$23.66,$24.70,$22.70
12/18/2024,$22.92,21660870,$26.28,$26.78,$22.89
12/17/2024,$26.37,15277960,$25.90,$26.45,$24.53
12/16/2024,$25.90,19543690,$24.465,$25.95,$23.35
12/13/2024,$24.42,18758540,$22.43,$24.57,$22.42
12/12/2024,$22.58,13386700,$22.92,$23.96,$22.33
12/11/2024,$23.35,14544820,$22.98,$23.985,$21.93
12/10/2024,$22.85,12572950,$22.85,$24.40,$22.80
12/09/2024,$23.24,27871040,$24.96,$25.09,$21.87
12/06/2024,$24.68,19915410,$24.425,$25.00,$23.43
12/05/2024,$23.92,19910390,$23.105,$24.52,$22.66
12/04/2024,$23.11,23047130,$22.95,$24.00,$22.34
12/03/2024,$23.01,30532440,$23.80,$24.2599,$22.50
12/02/2024,$24.155,41206920,$27.975,$28.10,$24.00
11/29/2024,$27.28,19870550,$26.00,$28.05,$25.66
11/27/2024,$25.67,26623100,$25.895,$27.20,$24.73
11/26/2024,$25.44,41464100,$23.72,$26.71,$23.62
11/25/2024,$24.06,40883180,$25.385,$25.5799,$22.8202
11/22/2024,$23.26,28378030,$23.025,$23.81,$22.38
11/21/2024,$22.41,28114890,$20.40,$22.48,$19.75
11/20/2024,$20.18,17269700,$20.55,$20.76,$19.64
11/19/2024,$20.50,28809560,$19.025,$20.97,$18.72
11/18/2024,$19.29,29165920,$19.54,$20.35,$18.47
11/15/2024,$19.00,42280050,$17.03,$19.48,$16.80
11/14/2024,$17.36,45508970,$19.43,$19.43,$17.2505
11/13/2024,$18.83,121001300,$19.24,$22.55,$18.65
11/12/2024,$14.66,25153560,$14.49,$15.02,$14.24
11/11/2024,$14.78,27297210,$14.64,$15.24,$14.01
11/08/2024,$13.51,17769110,$13.32,$13.90,$12.90
11/07/2024,$13.46,15823830,$13.50,$13.89,$13.08
11/06/2024,$13.05,17747250,$12.295,$13.06,$12.07
11/05/2024,$11.81,8553958,$11.34,$11.85,$11.28
11/04/2024,$11.25,7701599,$11.265,$11.395,$10.97
11/01/2024,$11.42,11010850,$10.90,$11.50,$10.85
10/31/2024,$10.70,13057470,$10.91,$10.91,$10.29
10/30/2024,$10.96,9128508,$11.35,$11.63,$10.95
10/29/2024,$11.47,9573348,$11.15,$11.58,$10.87
10/28/2024,$11.26,8443051,$11.25,$11.47,$11.0606
10/25/2024,$11.18,10553280,$11.24,$11.33,$10.91
10/24/2024,$11.19,16684240,$11.005,$12.085,$11.005
10/23/2024,$10.91,10104860,$11.16,$11.27,$10.6498
10/22/2024,$11.16,10455700,$11.21,$11.5199,$11.03
10/21/2024,$11.26,11021170,$10.85,$11.29,$10.68
